,ts,x,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
32,1.625047516447e+18,-4.494624293868746,0.7280901601787292,-53.22763095213668,-69.81698947597886,-56.0,-47.0,-67.24595133227496,-47.744576200678786
33,1.6250475167803333e+18,-4.478703519064817,0.728897764481182,,-71.37137961520602,-61.669094322126334,-48.0,-64.88587392869641,-51.596373105057566
34,1.6250475171136668e+18,-4.443708546413145,0.7323211668259737,-49.0,-74.52724374661271,-59.65712408046482,-42.12339991261588,-66.47128104620114,-46.67834375675554
35,1.625047517447e+18,-4.443708546413145,0.7323211668259737,-53.56583891058138,-72.88669256972092,-62.93577255041286,-41.0,-63.38297835270659,-49.33283196077609
36,1.6250475177803333e+18,-4.44384478584011,0.7493923346788468,-52.0,-78.88587392869641,-57.86459584399115,-41.81810796392091,-63.816989475978865,-48.59637310505755
37,1.6250475181136668e+18,-4.41972642764379,0.7751044509273507,-51.78975051398773,-76.0,-56.245951332274956,-47.0,-64.49533053638751,-51.22020246011415
38,1.625047518447e+18,-4.41972642764379,0.7751044509273507,-54.06032669873022,-72.0,-55.55489532554688,-39.92358370267847,-60.24595133227496,-49.49533053638751
39,1.6250475187803333e+18,-4.384148283757264,0.8066213835722696,-54.0,-72.12123479737583,-56.86459584399114,-40.0,-59.49533053638751,-47.94200867351528
40,1.6250475191136668e+18,-4.344455303042717,0.8248813060345573,-51.0,-73.79791593749727,-55.98528966022042,-40.57007447761685,-59.863827061900416,-50.163938802100944
41,1.625047519447e+18,-4.344455303042717,0.8248813060345573,-54.0,-76.88668852088807,-63.0,-40.308438357056815,-59.81698947597886,-52.37137961520602
42,1.6250475197803333e+18,-4.313920791924705,0.8364845125317595,-56.280013442826856,-72.0,-63.0,-41.0,-59.220202460114145,-49.67834375675554
43,1.6250475201136668e+18,-4.313920791924705,0.8364845125317595,-57.280013442826856,-74.59637310505757,-56.663181874397345,-40.308438357056815,-59.03707201955286,-51.49533053638751
44,1.625047520447e+18,-4.290150179129148,0.8526448126517535,-54.0,-74.7445762006788,-57.0,-40.308438357056815,-59.81698947597886,-49.59637310505756
45,1.6250475207803333e+18,-4.290150179129148,0.8526448126517535,,,,,-60.03707201955286,-50.67834375675553
46,1.6250475211136668e+18,-4.290150179129148,0.8526448126517535,-56.22020246011415,-74.5221501797204,-57.389311616241095,-41.0,-60.816989475978865,-48.744576200678786
